,Algorithm,model_index,parameters,FNR,FPR,MCC,ACC,F1score,F2score
0,KNN,1,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
1,KNN,2,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
2,KNN,3,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
3,KNN,4,"{'n_neighbors': 1, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
4,KNN,5,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
5,KNN,6,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
6,KNN,7,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
7,KNN,8,"{'n_neighbors': 1, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
8,KNN,9,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.17759876543209874, 'FNR_Leak': 0.14709677419354839, 'FNR_Clog': 0.1959058823529412, 'MCC_multiclass': 0.6391607295636011}","{'FPR': 0.3113150204558737, 'FPR_Leak': 0.006979272850832484, 'FPR_Clog': 0.19686414708886613, 'balanced_ACC': 0.7555431070560138}",0.51746479879502,0.7660431654676259,0.8027538428833368,0.8142941351116694
9,KNN,10,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.17759876543209874, 'FNR_Leak': 0.14709677419354839, 'FNR_Clog': 0.1959058823529412, 'MCC_multiclass': 0.6391607295636011}","{'FPR': 0.3113150204558737, 'FPR_Leak': 0.006979272850832484, 'FPR_Clog': 0.19686414708886613, 'balanced_ACC': 0.7555431070560138}",0.51746479879502,0.7660431654676259,0.8027538428833368,0.8142941351116694
10,KNN,11,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.17759876543209874, 'FNR_Leak': 0.14709677419354839, 'FNR_Clog': 0.1959058823529412, 'MCC_multiclass': 0.6391607295636011}","{'FPR': 0.3113150204558737, 'FPR_Leak': 0.006979272850832484, 'FPR_Clog': 0.19686414708886613, 'balanced_ACC': 0.7555431070560138}",0.51746479879502,0.7660431654676259,0.8027538428833368,0.8142941351116694
11,KNN,12,"{'n_neighbors': 2, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.17759876543209874, 'FNR_Leak': 0.14709677419354839, 'FNR_Clog': 0.1959058823529412, 'MCC_multiclass': 0.6391607295636011}","{'FPR': 0.3113150204558737, 'FPR_Leak': 0.006979272850832484, 'FPR_Clog': 0.19686414708886613, 'balanced_ACC': 0.7555431070560138}",0.51746479879502,0.7660431654676259,0.8027538428833368,0.8142941351116694
12,KNN,13,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
13,KNN,14,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'ball_tree'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
14,KNN,15,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'kd_tree'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
15,KNN,16,"{'n_neighbors': 2, 'weights': 'distance', 'Algorithm': 'brute'}","{'FNR': 0.20246296296296296, 'FNR_Leak': 0.15238709677419354, 'FNR_Clog': 0.23250196078431373, 'MCC_multiclass': 0.6551782486318005}","{'FPR': 0.25047340736411455, 'FPR_Leak': 0.03710159700985389, 'FPR_Clog': 0.11984678243105205, 'balanced_ACC': 0.7735318148364609}",0.5459443301483223,0.7772661870503598,0.8057143354043284,0.8006459907087153
16,KNN,17,"{'n_neighbors': 3, 'weights': 'uniform', 'Algorithm': 'auto'}","{'FNR': 0.18547530864197528, 'FNR_Leak': 0.13518279569892477, 'FNR_Clog': 0.2157803921568628, 'MCC_multiclass': 0.7017148033837667}","{'FPR': 0.2013091759205143, 'FPR_Leak': 0.015429833503227998, 'FPR_Clog': 0.11395812053115424, 'balanced_ACC': 0.8066077577187554}",0.6104642550399175,0.8077697841726618,0.8305879577193181,0.8207233758349226
17,KNN,18,"{'n_neighbors': 3, 'weights': 'uniform', 'Algorithm': 'ball_tree'}","{'FNR': 0.18547530864197528, 'FNR_Leak': 0.13518279569892477, 'FNR_Clog': 0.2157803921568628, 'MCC_multiclass': 0.7017148033837667}","{'FPR': 0.2013091759205143, 'FPR_Leak': 0.015429833503227998, 'FPR_Clog': 0.11395812053115424, 'balanced_ACC': 0.8066077577187554}",0.6104642550399175,0.8077697841726618,0.8305879577193181,0.8207233758349226
18,KNN,19,"{'n_neighbors': 3, 'weights': 'uniform', 'Algorithm': 'kd_tree'}","{'FNR': 0.18547530864197528, 'FNR_Leak': 0.13518279569892477, 'FNR_Clog': 0.2157803921568628, 'MCC_multiclass': 0.7017148033837667}","{'FPR': 0.2013091759205143, 'FPR_Leak': 0.015429833503227998, 'FPR_Clog': 0.11395812053115424, 'balanced_ACC': 0.8066077577187554}",0.6104642550399175,0.8077697841726618,0.8305879577193181,0.8207233758349226
19,KNN,20,"{'n_neighbors': 3, 'weights': 'uniform', 'Algorithm': 'brute'}","{'FNR': 0.18547530864197528, 'FNR_Leak': 0.13518279569892477, 'FNR_Clog': 0.2157803921568628, 'MCC_multiclass': 0.7017148033837667}","{'FPR': 0.2013091759205143, 'FPR_Leak': 0.015429833503227998, 'FPR_Clog': 0.11395812053115424, 'balanced_ACC': 0.8066077577187554}",0.6104642550399175,0.8077697841726618,0.8305879577193181,0.8207233758349226
20,KNN,21,"{'n_neighbors': 3, 'weights': 'distance', 'Algorithm': 'auto'}","{'FNR': 0.2113888888888889, 'FNR_Leak': 0.15901075268817205, 'FNR_Clog': 0.24290196078431378, 'MCC_multiclass': 0.6945111155113262}","{'FPR': 0.17811805961426064, 'FPR_Leak': 0.024610941216445806, 'FPR_Clog': 0.08738508682328906, 'balanced_ACC': 0.8052465257484251}",0.6050050342294697,0.802589928057554,0.8222159935855144,0.8015855793981959
